filename,width,height,class,xmin,ymin,xmax,ymax
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,244,4,521,786
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,1089,2,1304,642
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,991,6,1133,657
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,959,64,1052,621
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,792,4,883,663
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,710,4,749,723
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,501,1,645,661
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,1335,2,1505,619
CZxuyzVNrgNbuIl-1600x900-noPad.jpg,1600,900,tree,1,5,229,681
images (2).jpg,301,168,tree,158,1,195,137
images (2).jpg,301,168,tree,252,75,279,109
images (3).jpg,323,156,tree,148,9,166,156
images (3).jpg,323,156,tree,49,42,134,156
images (4).jpg,300,168,tree,15,1,71,139
images (4).jpg,300,168,tree,153,101,166,140
images (4).jpg,300,168,tree,282,22,300,154
images.jpg,327,154,tree,252,1,270,120
images.jpg,327,154,tree,233,1,249,111
images.jpg,327,154,tree,186,5,198,94
images.jpg,327,154,tree,206,1,224,97
images.jpg,327,154,tree,287,1,316,89
images.jpg,327,154,tree,110,1,138,112
rust-forests-3.jpg,620,300,tree,144,5,185,204
rust-forests-3.jpg,620,300,tree,247,73,312,190
rust-forests-3.jpg,620,300,tree,509,70,573,162
rust-forests-3.jpg,620,300,tree,444,65,470,151
rust-forests-3.jpg,620,300,tree,529,119,547,151
rust-forests-3.jpg,620,300,tree,269,146,292,184
rust-forests-3.jpg,620,300,tree,161,94,168,197
rust-forests-3.jpg,620,300,tree,1,1,62,229
rust-forests-3.jpg,620,300,tree,411,103,429,175
rust-forests-3.jpg,620,300,tree,327,97,351,167
Screenshot_1.jpg,1919,544,tree,86,275,159,490
Screenshot_1.jpg,1919,544,tree,1245,302,1340,465
Screenshot_1.jpg,1919,544,tree,1295,361,1311,458
Screenshot_1.jpg,1919,544,tree,764,110,911,362
Screenshot_1.jpg,1919,544,tree,832,253,850,345
Screenshot_1.jpg,1919,544,tree,396,294,471,481
Screenshot_1.jpg,1919,544,tree,521,196,647,510
Screenshot_1.jpg,1919,544,tree,1010,104,1185,331
Screenshot_1.jpg,1919,544,tree,1081,262,1115,311
Screenshot_10.jpg,1919,493,tree,1110,2,1186,493
Screenshot_10.jpg,1919,493,tree,610,2,700,431
Screenshot_10.jpg,1919,493,tree,647,214,672,385
Screenshot_10.jpg,1919,493,tree,760,1,890,400
Screenshot_10.jpg,1919,493,tree,810,1,853,399
Screenshot_10.jpg,1919,493,tree,896,66,976,399
Screenshot_10.jpg,1919,493,tree,1630,33,1693,419
Screenshot_10.jpg,1919,493,tree,1875,104,1919,292
Screenshot_10.jpg,1919,493,tree,1524,141,1624,403
Screenshot_10.jpg,1919,493,tree,1432,210,1500,433
Screenshot_10.jpg,1919,493,tree,1348,166,1425,411
Screenshot_10.jpg,1919,493,tree,1276,166,1364,423
Screenshot_10.jpg,1919,493,tree,1232,150,1292,423
Screenshot_10.jpg,1919,493,tree,982,140,1104,385
Screenshot_10.jpg,1919,493,tree,379,12,545,400
Screenshot_10.jpg,1919,493,tree,203,24,367,414
Screenshot_10.jpg,1919,493,tree,1,46,132,460
Screenshot_11.jpg,1919,565,tree,577,1,667,495
Screenshot_11.jpg,1919,565,tree,885,1,939,484
Screenshot_11.jpg,1919,565,tree,1190,412,1488,500
Screenshot_11.jpg,1919,565,tree,1331,1,1401,481
Screenshot_11.jpg,1919,565,tree,1785,10,1860,512
Screenshot_11.jpg,1919,565,tree,251,99,458,412
Screenshot_11.jpg,1919,565,tree,946,138,1069,427
Screenshot_11.jpg,1919,565,tree,1081,70,1218,472
Screenshot_11.jpg,1919,565,tree,1158,90,1287,485
Screenshot_12.jpg,1916,687,tree,543,2,671,449
Screenshot_12.jpg,1916,687,tree,451,238,592,449
Screenshot_12.jpg,1916,687,tree,806,324,953,617
Screenshot_12.jpg,1916,687,tree,957,203,1051,510
Screenshot_12.jpg,1916,687,tree,1537,233,1630,446
Screenshot_12.jpg,1916,687,tree,957,518,994,592
Screenshot_13.jpg,1919,877,tree,971,3,1035,762
Screenshot_13.jpg,1919,877,tree,765,11,862,744
Screenshot_13.jpg,1919,877,tree,274,1,464,625
Screenshot_13.jpg,1919,877,tree,173,10,298,495
Screenshot_13.jpg,1919,877,tree,1,175,166,655
Screenshot_13.jpg,1919,877,tree,1604,520,1659,758
Screenshot_13.jpg,1919,877,tree,1646,520,1704,767
Screenshot_13.jpg,1919,877,tree,1686,533,1755,759
Screenshot_13.jpg,1919,877,tree,1735,502,1796,742
Screenshot_13.jpg,1919,877,tree,1792,525,1838,759
Screenshot_13.jpg,1919,877,tree,1842,427,1919,751
Screenshot_14.jpg,1688,683,tree,219,306,488,683
Screenshot_14.jpg,1688,683,tree,1371,148,1458,360
Screenshot_14.jpg,1688,683,tree,1463,205,1539,365
Screenshot_14.jpg,1688,683,tree,1563,58,1642,453
Screenshot_14.jpg,1688,683,tree,1612,155,1666,432
Screenshot_14.jpg,1688,683,tree,1648,172,1688,393
Screenshot_14.jpg,1688,683,tree,495,406,533,550
Screenshot_14.jpg,1688,683,tree,533,443,560,550
Screenshot_14.jpg,1688,683,tree,609,407,649,527
Screenshot_14.jpg,1688,683,tree,1180,529,1240,642
Screenshot_2.jpg,1919,1019,tree,774,6,1108,998
Screenshot_2.jpg,1919,1019,tree,1597,2,1900,699
Screenshot_2.jpg,1919,1019,cross,917,275,1038,366
Screenshot_2.jpg,1919,1019,tree,1275,2,1435,438
Screenshot_2.jpg,1919,1019,tree,1401,5,1631,441
Screenshot_2.jpg,1919,1019,tree,350,8,438,251
Screenshot_2.jpg,1919,1019,tree,475,34,564,220
Screenshot_2.jpg,1919,1019,tree,250,227,764,382
Screenshot_2.jpg,1919,1019,tree,640,45,751,313
Screenshot_2.jpg,1919,1019,tree,228,19,303,247
Screenshot_3.jpg,1401,600,tree,1086,5,1284,477
Screenshot_3.jpg,1401,600,tree,830,212,1016,459
Screenshot_3.jpg,1401,600,tree,677,265,758,452
Screenshot_3.jpg,1401,600,tree,835,303,883,459
Screenshot_3.jpg,1401,600,tree,1143,253,1194,458
Screenshot_3.jpg,1401,600,tree,723,373,755,455
Screenshot_4.jpg,1903,876,tree,1442,5,1559,573
Screenshot_4.jpg,1903,876,tree,1477,7,1527,548
Screenshot_4.jpg,1903,876,tree,1666,11,1729,502
Screenshot_4.jpg,1903,876,tree,1683,25,1708,490
Screenshot_4.jpg,1903,876,tree,1769,3,1890,475
Screenshot_4.jpg,1903,876,tree,1814,1,1870,448
Screenshot_4.jpg,1903,876,tree,95,23,244,775
Screenshot_4.jpg,1903,876,tree,382,128,453,867
Screenshot_4.jpg,1903,876,tree,478,284,537,682
Screenshot_4.jpg,1903,876,tree,864,7,920,584
Screenshot_4.jpg,1903,876,tree,921,33,993,654
Screenshot_4.jpg,1903,876,tree,1069,160,1099,638
Screenshot_4.jpg,1903,876,tree,1119,392,1137,610
Screenshot_4.jpg,1903,876,tree,1304,11,1392,579
Screenshot_4.jpg,1903,876,tree,1392,5,1437,554
Screenshot_4.jpg,1903,876,tree,247,34,315,726
Screenshot_4.jpg,1903,876,tree,1,114,106,738
Screenshot_5.jpg,1919,509,tree,574,1,678,247
Screenshot_5.jpg,1919,509,tree,670,1,753,210
Screenshot_5.jpg,1919,509,tree,806,1,876,222
Screenshot_5.jpg,1919,509,tree,921,1,987,258
Screenshot_5.jpg,1919,509,tree,1028,221,1174,315
Screenshot_5.jpg,1919,509,tree,1325,183,1362,293
Screenshot_5.jpg,1919,509,tree,1392,140,1422,300
Screenshot_5.jpg,1919,509,tree,1574,134,1780,401
Screenshot_5.jpg,1919,509,tree,1069,1,1111,268
Screenshot_5.jpg,1919,509,tree,1160,1,1240,283
Screenshot_5.jpg,1919,509,tree,1242,1,1352,289
Screenshot_5.jpg,1919,509,tree,1435,7,1587,333
Screenshot_5.jpg,1919,509,tree,228,1,357,110
Screenshot_5.jpg,1919,509,tree,129,1,217,103
Screenshot_5.jpg,1919,509,tree,490,1,601,189
Screenshot_6.jpg,1919,850,tree,728,1,1008,846
Screenshot_6.jpg,1919,850,cross,837,571,944,712
Screenshot_6.jpg,1919,850,tree,1219,2,1288,588
Screenshot_6.jpg,1919,850,tree,1608,504,1919,701
Screenshot_6.jpg,1919,850,tree,1673,5,1747,560
Screenshot_6.jpg,1919,850,tree,1839,15,1895,557
Screenshot_6.jpg,1919,850,tree,323,3,401,571
Screenshot_6.jpg,1919,850,tree,233,26,326,596
Screenshot_6.jpg,1919,850,tree,1,372,142,597
Screenshot_6.jpg,1919,850,tree,615,6,696,597
Screenshot_6.jpg,1919,850,tree,432,211,625,565
Screenshot_6.jpg,1919,850,tree,530,292,582,548
Screenshot_6.jpg,1919,850,tree,447,296,507,552
Screenshot_6.jpg,1919,850,tree,1367,17,1457,518
Screenshot_6.jpg,1919,850,tree,1395,22,1432,505
Screenshot_7.jpg,1919,481,tree,226,3,310,435
Screenshot_7.jpg,1919,481,tree,174,3,265,399
Screenshot_7.jpg,1919,481,tree,473,22,539,344
Screenshot_7.jpg,1919,481,tree,350,56,414,328
Screenshot_7.jpg,1919,481,tree,409,51,490,369
Screenshot_7.jpg,1919,481,tree,581,12,666,368
Screenshot_7.jpg,1919,481,tree,723,21,798,390
Screenshot_7.jpg,1919,481,tree,795,1,878,344
Screenshot_7.jpg,1919,481,tree,1011,18,1055,357
Screenshot_7.jpg,1919,481,tree,947,1,992,328
Screenshot_7.jpg,1919,481,tree,1121,1,1162,390
Screenshot_7.jpg,1919,481,tree,1186,1,1229,367
Screenshot_7.jpg,1919,481,tree,1350,1,1404,323
Screenshot_7.jpg,1919,481,tree,1425,1,1496,290
Screenshot_7.jpg,1919,481,tree,1769,1,1867,237
Screenshot_8.jpg,1919,771,tree,245,1,408,500
Screenshot_8.jpg,1919,771,tree,1600,103,1716,565
Screenshot_8.jpg,1919,771,tree,1566,501,1831,548
Screenshot_8.jpg,1919,771,tree,1400,174,1519,314
Screenshot_8.jpg,1919,771,tree,1735,36,1919,468
Screenshot_8.jpg,1919,771,tree,1100,1,1736,237
Screenshot_9.jpg,1919,855,tree,1069,7,1233,795
Screenshot_9.jpg,1919,855,tree,1300,79,1509,785
Screenshot_9.jpg,1919,855,tree,1548,1,1857,819
Screenshot_9.jpg,1919,855,tree,1701,259,1842,666
Screenshot_9.jpg,1919,855,tree,1646,226,1847,810
Screenshot_9.jpg,1919,855,tree,1442,321,1537,644
Screenshot_9.jpg,1919,855,tree,801,370,874,669
Screenshot_9.jpg,1919,855,tree,758,426,800,680
Screenshot_9.jpg,1919,855,tree,690,497,723,656
Screenshot_9.jpg,1919,855,tree,475,470,511,622
Screenshot_9.jpg,1919,855,tree,346,57,544,678
Screenshot_9.jpg,1919,855,tree,1,14,422,809
Screenshot_9.jpg,1919,855,tree,75,20,143,476
Без названия (1).jpg,300,168,tree,1,10,124,79
Без названия (1).jpg,300,168,tree,118,6,133,91
Без названия (1).jpg,300,168,tree,106,15,117,76
Без названия (1).jpg,300,168,tree,176,1,198,99
Без названия (1).jpg,300,168,tree,217,3,230,100
Без названия (1).jpg,300,168,tree,247,1,288,119
Без названия (1).jpg,300,168,tree,281,2,299,158
Без названия (2).jpg,300,168,tree,94,1,111,132
Без названия (2).jpg,300,168,tree,114,1,131,118
Без названия (2).jpg,300,168,tree,159,1,189,116
Без названия (2).jpg,300,168,tree,204,1,233,109
Без названия (2).jpg,300,168,tree,236,1,287,99
Без названия (2).jpg,300,168,tree,276,1,296,96
Без названия (2).jpg,300,168,tree,1,16,46,123
Без названия (2).jpg,300,168,tree,47,36,71,128
Без названия (2).jpg,300,168,tree,35,47,57,116
Без названия (2).jpg,300,168,tree,21,67,43,117
Без названия (2).jpg,300,168,tree,13,69,38,107
Без названия (3).jpg,300,168,tree,4,2,50,168
Без названия (3).jpg,300,168,tree,46,7,74,87
Без названия (3).jpg,300,168,tree,84,14,115,102
Без названия (3).jpg,300,168,tree,190,1,215,100
Без названия (3).jpg,300,168,tree,115,42,137,93
Без названия (3).jpg,300,168,tree,161,27,196,97
Без названия (3).jpg,300,168,tree,211,1,262,102
Без названия (4).jpg,300,168,tree,184,1,200,143
Без названия (4).jpg,300,168,tree,166,20,183,117
Без названия (4).jpg,300,168,tree,152,30,169,120
Без названия (4).jpg,300,168,tree,85,1,100,86
Без названия (4).jpg,300,168,tree,25,16,50,76
Без названия (4).jpg,300,168,tree,59,35,70,74
Без названия (4).jpg,300,168,tree,58,3,78,81
Без названия (4).jpg,300,168,tree,267,1,290,122
Без названия (4).jpg,300,168,tree,288,1,300,113
Без названия (5).jpg,300,168,tree,10,1,57,117
Без названия (5).jpg,300,168,tree,106,1,128,119
Без названия (5).jpg,300,168,tree,157,1,180,115
Без названия (5).jpg,300,168,tree,192,1,216,119
Без названия (5).jpg,300,168,tree,231,1,243,121
Без названия (5).jpg,300,168,tree,250,1,278,124
Без названия (5).jpg,300,168,tree,279,1,299,122
Без названия (5).jpg,300,168,tree,75,36,105,114
Без названия (6).jpg,321,157,tree,249,2,283,120
Без названия (6).jpg,321,157,tree,281,46,294,102
Без названия (6).jpg,321,157,tree,301,55,309,96
Без названия (6).jpg,321,157,tree,111,23,141,121
Без названия (6).jpg,321,157,tree,80,68,89,116
Без названия (6).jpg,321,157,tree,57,63,67,106
Без названия (6).jpg,321,157,tree,30,63,48,111
Без названия (6).jpg,321,157,tree,106,72,122,115
Без названия (6).jpg,321,157,tree,189,50,204,96
Без названия (6).jpg,321,157,tree,213,68,231,95
