filename,width,height,class,xmin,ymin,xmax,ymax
Без названия (6).jpg,321,157,tree,249,2,283,120
Без названия (6).jpg,321,157,tree,281,46,294,102
Без названия (6).jpg,321,157,tree,301,55,309,96
Без названия (6).jpg,321,157,tree,111,23,141,121
Без названия (6).jpg,321,157,tree,80,68,89,116
Без названия (6).jpg,321,157,tree,57,63,67,106
Без названия (6).jpg,321,157,tree,30,63,48,111
Без названия (6).jpg,321,157,tree,106,72,122,115
Без названия (6).jpg,321,157,tree,189,50,204,96
Без названия (6).jpg,321,157,tree,213,68,231,95
